Kinetic, Potential, Total
92.3466, -614.87405, -522.5274
92.1946, -614.72237, -522.5277
91.7355, -614.26409, -522.5286
90.9602, -613.49014, -522.5299
89.8544, -612.38614, -522.5317
88.3993, -610.93322, -522.5339
86.5730, -609.10931, -522.5363
84.3524, -606.89124, -522.5388
81.7167, -604.25781, -522.5411
78.6512, -601.19398, -522.5427
75.1533, -597.69657, -522.5433
71.2389, -593.78110, -522.5422
66.9504, -589.48937, -522.5390
62.3635, -584.89670, -522.5332
57.5918, -580.11661, -522.5248
52.7863, -575.30052, -522.5142
48.1275, -570.62997, -522.5024
43.8094, -566.30039, -522.4910
40.0166, -562.49818, -522.4816
36.9004, -559.37591, -522.4756
34.5586, -557.03214, -522.4735
33.0259, -555.50123, -522.4754
32.2746, -554.75494, -522.4804
32.2263, -554.71370, -522.4874
32.7676, -555.26301, -522.4954
33.7671, -556.27055, -522.5034
35.0898, -557.60064, -522.5108
36.6077, -559.12493, -522.5173
38.2067, -560.72917, -522.5225
39.7900, -562.31660, -522.5266
41.2794, -563.80895, -522.5295
42.6142, -565.14578, -522.5315
43.7502, -566.28292, -522.5327
44.6572, -567.19049, -522.5333
45.3180, -567.85118, -522.5332
45.7261, -568.25878, -522.5327
45.8858, -568.41737, -522.5316
45.8111, -568.34105, -522.5300
45.5264, -568.05414, -522.5278
45.0662, -567.59124, -522.5250
44.4752, -566.99690, -522.5217
43.8062, -566.32430, -522.5181
43.1180, -565.63242, -522.5144
42.4709, -564.98186, -522.5109
41.9215, -564.42954, -522.5080
41.5171, -564.02309, -522.5060
41.2907, -563.79584, -522.5051
41.2580, -563.76343, -522.5054
41.4160, -563.92279, -522.5068
41.7446, -564.25363, -522.5090
42.2105, -564.72216, -522.5117
42.7717, -565.28617, -522.5145
43.3831, -565.90034, -522.5172
44.0014, -566.52093, -522.5196
44.5880, -567.10940, -522.5214
45.1122, -567.63479, -522.5226
45.5520, -568.07522, -522.5232
45.8955, -568.41867, -522.5232
46.1407, -568.66324, -522.5225
46.2952, -568.81661, -522.5214
46.3749, -568.89475, -522.5198
46.4013, -568.91945, -522.5182
46.3986, -568.91516, -522.5166
46.3900, -568.90532, -522.5153
46.3948, -568.90919, -522.5144
46.4258, -568.93981, -522.5140
46.4897, -569.00358, -522.5139
46.5871, -569.10124, -522.5141
46.7154, -569.22979, -522.5144
46.8700, -569.38462, -522.5146
47.0464, -569.56119, -522.5148
47.2410, -569.75591, -522.5149
47.4513, -569.96621, -522.5149
47.6750, -570.19004, -522.5150
47.9097, -570.42490, -522.5152
48.1514, -570.66690, -522.5155
48.3942, -570.91018, -522.5160
48.6301, -571.14668, -522.5166
48.8492, -571.36657, -522.5173
49.0410, -571.55907, -522.5180
49.1948, -571.71353, -522.5187
49.3015, -571.82066, -522.5192
49.3542, -571.87366, -522.5195
49.3495, -571.86904, -522.5196
49.2876, -571.80706, -522.5194
49.1726, -571.69165, -522.5191
49.0113, -571.52990, -522.5186
48.8132, -571.33120, -522.5180
48.5888, -571.10624, -522.5175
48.3491, -570.86601, -522.5169
48.1046, -570.62105, -522.5164
47.8651, -570.38107, -522.5160
47.6390, -570.15470, -522.5157
47.4338, -569.94920, -522.5154
47.2549, -569.77013, -522.5153
47.1055, -569.62078, -522.5153
46.9861, -569.50158, -522.5155
46.8939, -569.40981, -522.5159
46.8231, -569.33954, -522.5164
46.7650, -569.28207, -522.5171
46.7089, -569.22677, -522.5178
