Kinetic, Potential, Total
97.9408, -614.87405, -516.9333
97.7362, -614.21746, -516.4813
97.2424, -613.38585, -516.1435
96.4092, -612.19913, -515.7899
95.2204, -610.63473, -515.4143
93.6533, -608.66567, -515.0123
91.6813, -606.26326, -514.5819
89.2759, -603.40091, -514.1250
86.4108, -600.05946, -513.6487
83.0674, -596.23417, -513.1668
79.2414, -591.94305, -512.7016
74.9516, -587.23579, -512.2842
70.2483, -582.20168, -511.9534
65.2210, -576.97360, -511.7526
60.0026, -571.72546, -511.7228
54.7663, -566.66052, -511.8942
49.7141, -561.99094, -512.2768
45.0564, -557.91167, -512.8553
40.9864, -554.57493, -513.5885
37.6552, -552.07168, -514.4165
35.1532, -550.42450, -515.2713
33.5034, -549.59222, -516.0889
32.6654, -549.48335, -516.8180
32.5489, -549.97369, -517.4248
33.0309, -550.92396, -517.8930
33.9730, -552.19458, -518.2216
35.2363, -553.65648, -518.4202
36.6920, -555.19775, -518.5058
38.2284, -556.72664, -518.4982
39.7537, -558.17210, -518.4183
41.1968, -559.48246, -518.2856
42.5059, -560.62330, -518.1174
43.6462, -561.57505, -517.9288
44.5982, -562.33063, -517.7325
45.3545, -562.89333, -517.5388
45.9184, -563.27483, -517.3564
46.3014, -563.49344, -517.1920
46.5217, -563.57219, -517.0505
46.6023, -563.53691, -516.9346
46.5687, -563.41422, -516.8455
46.4477, -563.22971, -516.7820
46.2646, -563.00653, -516.7419
46.0425, -562.76463, -516.7221
45.8015, -562.52087, -516.7194
45.5584, -562.28983, -516.7314
45.3280, -562.08517, -516.7572
45.1240, -561.92122, -516.7972
44.9609, -561.81413, -516.8533
44.8547, -561.78196, -516.9272
44.8236, -561.84293, -517.0193
44.8854, -562.01189, -517.1264
45.0549, -562.29608, -517.2412
45.3388, -562.69200, -517.3532
45.7339, -563.18520, -517.4513
46.2257, -563.75307, -517.5273
46.7921, -564.36969, -517.5776
47.4074, -565.01057, -517.6032
48.0473, -565.65594, -517.6087
48.6921, -566.29214, -517.6001
49.3281, -566.91149, -517.5834
49.9476, -567.51113, -517.5636
50.5475, -568.09147, -517.5439
51.1283, -568.65454, -517.5263
51.6917, -569.20248, -517.5107
52.2400, -569.73634, -517.4964
52.7740, -570.25536, -517.4814
53.2930, -570.75661, -517.4636
53.7941, -571.23505, -517.4410
54.2722, -571.68369, -517.4115
54.7204, -572.09399, -517.3736
55.1301, -572.45607, -517.3259
55.4916, -572.75920, -517.2676
55.7940, -572.99228, -517.1982
56.0264, -573.14460, -517.1182
56.1781, -573.20687, -517.0288
56.2399, -573.17246, -516.9326
56.2052, -573.03882, -516.8336
56.0716, -572.80880, -516.7372
55.8420, -572.49184, -516.6499
55.5259, -572.10457, -516.5787
55.1399, -571.67069, -516.5307
54.7078, -571.21978, -516.5120
54.2588, -570.78491, -516.5261
53.8258, -570.39913, -516.5733
53.4417, -570.09121, -516.6495
53.1349, -569.88149, -516.7466
52.9255, -569.77870, -516.8532
52.8222, -569.77901, -516.9568
52.8213, -569.86743, -517.0461
52.9081, -570.02171, -517.1136
53.0606, -570.21740, -517.1568
53.2548, -570.43278, -517.1780
53.4691, -570.65228, -517.1832
53.6880, -570.86763, -517.1796
53.9032, -571.07664, -517.1734
54.1123, -571.28047, -517.1681
54.3163, -571.48039, -517.1641
54.5161, -571.67529, -517.1592
54.7107, -571.86060, -517.1499
54.8955, -572.02879, -517.1333
55.0631, -572.17092, -517.1078
