Positions of every atom, in reduced units, for every time step
x, y, z
 
-7.39, -7.39, -7.39
-7.39, -4.93, -4.93
-4.93, -7.39, -4.93
-4.93, -4.93, -7.39
-2.46, -7.39, -7.39
-2.46, -4.93, -4.93
0.00, -7.39, -4.93
0.00, -4.93, -7.39
2.46, -7.39, -7.39
2.46, -4.93, -4.93
4.93, -7.39, -4.93
4.93, -4.93, -7.39
-7.39, -2.46, -7.39
-7.39, 0.00, -4.93
-4.93, -2.46, -4.93
-4.93, 0.00, -7.39
-2.46, -2.46, -7.39
-2.46, 0.00, -4.93
0.00, -2.46, -4.93
0.00, 0.00, -7.39
2.46, -2.46, -7.39
2.46, 0.00, -4.93
4.93, -2.46, -4.93
4.93, 0.00, -7.39
-7.39, 2.46, -7.39
-7.39, 4.93, -4.93
-4.93, 2.46, -4.93
-4.93, 4.93, -7.39
-2.46, 2.46, -7.39
-2.46, 4.93, -4.93
0.00, 2.46, -4.93
0.00, 4.93, -7.39
2.46, 2.46, -7.39
2.46, 4.93, -4.93
4.93, 2.46, -4.93
4.93, 4.93, -7.39
-7.39, -7.39, -2.46
-7.39, -4.93, 0.00
-4.93, -7.39, 0.00
-4.93, -4.93, -2.46
-2.46, -7.39, -2.46
-2.46, -4.93, 0.00
0.00, -7.39, 0.00
0.00, -4.93, -2.46
2.46, -7.39, -2.46
2.46, -4.93, 0.00
4.93, -7.39, 0.00
4.93, -4.93, -2.46
-7.39, -2.46, -2.46
-7.39, 0.00, 0.00
-4.93, -2.46, 0.00
-4.93, 0.00, -2.46
-2.46, -2.46, -2.46
-2.46, 0.00, 0.00
0.00, -2.46, 0.00
0.00, 0.00, -2.46
2.46, -2.46, -2.46
2.46, 0.00, 0.00
4.93, -2.46, 0.00
4.93, 0.00, -2.46
-7.39, 2.46, -2.46
-7.39, 4.93, 0.00
-4.93, 2.46, 0.00
-4.93, 4.93, -2.46
-2.46, 2.46, -2.46
-2.46, 4.93, 0.00
0.00, 2.46, 0.00
0.00, 4.93, -2.46
2.46, 2.46, -2.46
2.46, 4.93, 0.00
4.93, 2.46, 0.00
4.93, 4.93, -2.46
-7.39, -7.39, 2.46
-7.39, -4.93, 4.93
-4.93, -7.39, 4.93
-4.93, -4.93, 2.46
-2.46, -7.39, 2.46
-2.46, -4.93, 4.93
0.00, -7.39, 4.93
0.00, -4.93, 2.46
2.46, -7.39, 2.46
2.46, -4.93, 4.93
4.93, -7.39, 4.93
4.93, -4.93, 2.46
-7.39, -2.46, 2.46
-7.39, 0.00, 4.93
-4.93, -2.46, 4.93
-4.93, 0.00, 2.46
-2.46, -2.46, 2.46
-2.46, 0.00, 4.93
0.00, -2.46, 4.93
0.00, 0.00, 2.46
2.46, -2.46, 2.46
2.46, 0.00, 4.93
4.93, -2.46, 4.93
4.93, 0.00, 2.46
-7.39, 2.46, 2.46
-7.39, 4.93, 4.93
-4.93, 2.46, 4.93
-4.93, 4.93, 2.46
-2.46, 2.46, 2.46
-2.46, 4.93, 4.93
0.00, 2.46, 4.93
0.00, 4.93, 2.46
2.46, 2.46, 2.46
2.46, 4.93, 4.93
4.93, 2.46, 4.93
4.93, 4.93, 2.46
 
-7.39, -7.39, -7.39
-7.39, -4.91, -4.92
-4.92, -7.39, -4.92
-4.93, -4.92, -7.38
-2.46, -7.39, -7.39
-2.46, -4.93, -4.93
0.00, -7.39, -4.93
-0.01, -4.92, -7.39
2.47, -7.39, -7.39
2.46, -4.92, -4.93
4.92, -7.39, -4.92
4.92, -4.93, -7.39
-7.40, -2.46, -7.39
-7.39, -0.00, -4.93
-4.93, -2.46, -4.92
-4.92, 0.00, -7.38
-2.46, -2.46, -7.39
-2.46, -0.00, -4.92
0.00, -2.46, -4.92
-0.00, -0.00, -7.39
2.46, -2.47, -7.39
2.47, -0.00, -4.93
4.93, -2.46, -4.92
4.92, 0.00, -7.39
-7.39, 2.46, -7.39
-7.38, 4.92, -4.93
-4.92, 2.46, -4.93
-4.92, 4.93, -7.39
-2.47, 2.46, -7.39
-2.47, 4.93, -4.92
0.00, 2.46, -4.93
0.00, 4.92, -7.39
2.47, 2.47, -7.39
2.46, 4.92, -4.93
4.93, 2.47, -4.92
4.93, 4.93, -7.39
-7.39, -7.39, -2.46
-7.38, -4.92, -0.00
-4.92, -7.40, -0.00
-4.92, -4.92, -2.46
-2.47, -7.39, -2.47
-2.46, -4.92, -0.00
0.01, -7.39, -0.00
-0.00, -4.93, -2.47
2.46, -7.39, -2.46
2.45, -4.92, -0.00
4.92, -7.38, 0.00
4.93, -4.93, -2.46
-7.39, -2.46, -2.46
-7.39, -0.00, 0.00
-4.92, -2.46, -0.00
-4.92, 0.01, -2.46
-2.46, -2.47, -2.45
-2.47, 0.00, 0.00
-0.00, -2.46, -0.00
0.00, 0.00, -2.47
2.46, -2.46, -2.46
2.46, -0.00, 0.00
4.93, -2.46, -0.00
4.92, 0.01, -2.47
-7.39, 2.46, -2.47
-7.39, 4.92, -0.00
-4.93, 2.46, 0.00
-4.92, 4.92, -2.46
-2.47, 2.47, -2.47
-2.46, 4.93, 0.00
-0.00, 2.46, -0.01
-0.01, 4.92, -2.45
2.46, 2.45, -2.46
2.47, 4.93, 0.00
4.93, 2.46, -0.00
4.92, 4.92, -2.47
-7.39, -7.39, 2.46
-7.38, -4.93, 4.92
-4.93, -7.40, 4.92
-4.93, -4.92, 2.46
-2.46, -7.38, 2.46
-2.46, -4.92, 4.93
0.00, -7.40, 4.93
0.00, -4.93, 2.47
2.46, -7.39, 2.46
2.46, -4.93, 4.93
4.93, -7.39, 4.92
4.92, -4.93, 2.46
-7.39, -2.46, 2.46
-7.39, -0.00, 4.93
-4.92, -2.46, 4.92
-4.93, 0.00, 2.46
-2.47, -2.46, 2.46
-2.47, -0.00, 4.93
0.01, -2.46, 4.92
-0.00, -0.01, 2.46
2.47, -2.47, 2.46
2.46, 0.01, 4.93
4.92, -2.46, 4.93
4.92, 0.00, 2.47
-7.39, 2.47, 2.47
-7.39, 4.92, 4.93
-4.92, 2.46, 4.92
-4.93, 4.92, 2.45
-2.47, 2.45, 2.47
-2.46, 4.92, 4.92
-0.00, 2.46, 4.93
0.00, 4.92, 2.46
2.46, 2.46, 2.47
2.46, 4.92, 4.92
4.92, 2.46, 4.93
4.93, 4.94, 2.46
 
-7.40, -7.39, -7.39
-7.40, -4.90, -4.92
-4.92, -7.39, -4.91
-4.94, -4.91, -7.38
-2.47, -7.39, -7.39
-2.46, -4.93, -4.93
0.01, -7.40, -4.93
-0.02, -4.92, -7.40
2.47, -7.39, -7.40
2.47, -4.92, -4.93
4.91, -7.40, -4.91
4.92, -4.94, -7.39
-7.40, -2.46, -7.39
-7.39, -0.00, -4.93
-4.93, -2.46, -4.92
